0 659
 0.3429 -0.0593611 0
 0.33914 -0.0576221 0
 0.34129 -0.0568937 0
 0.34344 -0.0561525 0
 0.343613 -0.0550818 0
 0.339832 -0.0533898 0
 0.341973 -0.0526347 0
 0.33818 -0.0509724 0
 0.338337 -0.0499182 0
 0.338491 -0.0488635 0
 0.334681 -0.0472491 0
 0.342752 -0.0472994 0
 0.342898 -0.046231 0
 0.34304 -0.045162 0
 0.347146 -0.0446024 0
 0.329423 -0.0412821 0
 0.335506 -0.0409827 0
 0.329674 -0.0392279 0
 0.347675 -0.0402713 0
 0.345812 -0.0389636 0
 0.334003 -0.0365793 0
 0.330138 -0.035115 0
 0.344172 -0.0355233 0
 0.33433 -0.0334548 0
 0.330452 -0.0320268 0
 0.344489 -0.0323038 0
 0.330645 -0.0299663 0
 0.330737 -0.0289357 0
 0.330825 -0.0279048 0
 0.330911 -0.0268736 0
 0.336975 -0.0263091 0
 0.337055 -0.0252588 0
 0.337132 -0.0242081 0
 0.341196 -0.0234314 0
 0.341268 -0.0223679 0
 0.341336 -0.0213041 0
 0.343397 -0.0203586 0
 0.343459 -0.0192882 0
 0.347512 -0.0184295 0
 0.333585 -0.0166485 0
 0.333635 -0.0156088 0
 0.333682 -0.0145689 0
 0.333726 -0.0135288 0
 0.333766 -0.0124886 0
 0.327807 -0.0112427 0
 0.335837 -0.0104703 0
 0.335868 -0.00942352 0
 0.327898 -0.00817725 0
 0.327922 -0.00715526 0
 0.327943 -0.00613321 0
 0.32996 -0.00514226 0
 0.327975 -0.00408893 0
 0.329986 -0.00308543 0
 0.333994 -0.0020819 0
 0.329998 -0.00102848 0
 0.328 1.84257e-08 0
 0.327998 0.00102228 0
 0.313994 0.00195727 0
 0.315986 0.00295457 0
 0.327975 0.00408897 0
 0.32996 0.0051423 0
 0.329942 0.00617064 0
 0.315925 0.00689352 0
 0.333896 0.00832687 0
 0.32987 0.00925528 0
 0.327841 0.010221 0
 0.327807 0.0112427 0
 0.327771 0.0122643 0
 0.329729 0.0133668 0
 0.329686 0.0143944 0
 0.329639 0.0154219 0
 0.333585 0.0166485 0
 0.333531 0.0176881 0
 0.319497 0.0179426 0
 0.319439 0.0189382 0
 0.327363 0.0204321 0
 0.313328 0.0205366 0
 0.315257 0.0216501 0
 0.327158 0.023492 0
 0.327083 0.0245115 0
 0.332987 0.0259978 0
 0.328917 0.0267117 0
 0.326839 0.0275686 0
 0.328744 0.0287614 0
 0.328653 0.0297859 0
 0.326567 0.0306233 0
 0.32647 0.0316409 0
 0.32637 0.0326583 0
 0.334224 0.0344967 0
 0.334115 0.0355381 0
 0.332015 0.0363616 0
 0.3319 0.0373962 0
 0.335755 0.0388906 0
 0.329674 0.0392279 0
 0.341462 0.0417102 0
 0.339346 0.0425256 0
 0.339212 0.043583 0
 0.335108 0.0441179 0
 0.329023 0.0443604 0
 0.334827 0.0462058 0
 0.32874 0.0464104 0
 0.328594 0.0474348 0
 0.342295 0.0505021 0
 0.328292 0.0494821 0
 0.345927 0.0532432 0
 0.327977 0.0515274 0
 0.333739 0.0534991 0
 0.339492 0.0555071 0
 0.339318 0.0565649 0
 0.33914 0.0576222 0
 0.338958 0.0586789 0
 0.338774 0.059735 0
 0.33268 0.0597303 0
 0.332493 0.0607668 0
 0.332302 0.0618028 0
 0.341933 0.0646973 0
 0.33191 0.0638729 0
 0.341523 0.0668274 0
 0.339352 0.0675013 0
 0.3411 0.0689549 0
 0.333047 0.068408 0
 0.332832 0.0694457 0
 0.338484 0.0717265 0
 0.332393 0.071519 0
 0.332168 0.0725546 0
 0.337798 0.0748881 0
 0.337563 0.0759406 0
 0.331475 0.0756571 0
 0.331238 0.0766899 0
 0.338786 0.0795506 0
 0.33659 0.0801428 0
 0.336339 0.0811915 0
 0.336084 0.0822393 0
 0.335565 0.0843327 0
 0.335301 0.0853781 0
 0.333096 0.0859231 0
 0.336697 0.087972 0
 0.330621 0.0874861 0
 0.355461 0.0952454 0
 0.368674 0.100018 0
 0.405003 0.111231 0
 0.587713 0.163382 0
 0.648237 0.184568 0
 1.55525 0.474427 0
 1.36838 0.42209 0
 1.2926 0.403129 0
 1.26654 0.399337 0
 1.26529 0.403283 0
 1.26212 0.406611 0
 1.26275 0.411162 0
 1.26716 0.416971 0
 1.26016 0.419025 0
 1.25316 0.421039 0
 1.25184 0.424943 0
 1.25051 0.428843 0
 1.24728 0.432083 0
 1.24026 0.433987 0
 1.2389 0.43785 0
 1.23942 0.442382 0
 1.22674 0.442173 0
